week,day,title,reference,summary,studyNotes,devotional,questions
12,60,Job,"Job 1, 42; Ps 49","God is sovereign and in control of all things, even the works of Satan. This should give us great confidence in God, motivating us to trust in him regardless of the circumstances. We may never know fully why God allows tragedies in our lives, but we can be sure that he has a purpose and that his ways are always good.","Job 1, Verse 1. Job. The events of this narrative likely occurred during the patriarchal period, sometime between the Tower of Babel and either before or contemporaneously with Abraham. The book’s author is unknown, but it could have been Moses (since Uz was adjacent to Midian), Solomon (because of similarity of content with Ecclesiastes), or one of the prophets (there are some reasons to believe this was written during or after the exile). Verse 6. Sons of God. Refers to angels (see 38:7, Pss 29:1; 89:7; Dan 3:25).","Today’s reading gives us a sweeping overview of the dramatic saga of a man named Job. Likely the oldest book in the Bible, the story seems to have taken place in around the same time of the patriarchs. Job is identified as a man of great integrity with great wealth and a great family. His integrity is presented in a four-fold manner: he is blameless, upright, fearing God, and turning away from evil (1:1). His four-fold character is challenged by four successive catastrophes on one single day. Notice how the bad news kept coming “while this one was still speaking” (1:16–18). In one day this great man is broken. His wealth (oxen, donkeys, sheep, camels, and servants) as well as his children are all taken from him. These crises would cripple almost any man, and yet Job ends the day without sinning or offending God, but instead praising God. 

The story of Job is remarkable for his ability to suffer well. And yet, the story of Job is shocking because the hand of God is behind it all! In a shocking glimpse into the throne room of heaven, Satan is given access and is even instructed to bring all this evil upon Job. We the reader know what is going on behind the scenes, but Job does not. How can he hold up under such suffering?

Much of the book is filled with cycles of conversations between Job and his friends. Some of what they say is helpful, but much of it is harmful without proper understanding. Job answers his friends and questions God, but at the end of the book we’re given a thunderous response from heaven. Chapters 40–41 contain God’s stunning response which silences Job. Who is like our God? 

It makes the story even more remarkable when we realize that Job didn’t know what we the readers know. Job did not know about the interaction between God and Satan. God did not explain Job’s sufferings later in the book either. From beginning to end, Job has to trust the goodness, wisdom, power, and justice of God.  In the face of suffering, even suffering that we don’t understand or think we deserve, can we respond like Job does at the beginning of chapter 42? We can trust God to set the record straight, just as he does with Job and his friends. We can trust him to restore our fortunes if he chooses to do so,  but even if he does not, let us bless the name of Yahweh.

Psalm 49 reads like a commentary on Job. Let the example of this man Job and the poetry of the psalm shape us into true worshippers who trust God even in the midst of excruciatingly dark circumstances.","1. Why did God allow Satan to bring tragedy upon Job? 2. Is it ever right to question God? 3. Has any tragedy ever occurred in your life, and you didn't know why God allowed it? How should you respond in such situations?"
13,61,God Raises Up Judges,Judg 1–3,"The people of Israel failed to obey God’s commands and even began to worship the false gods of the land because the former generation failed to pass on the knowledge of God and his works to their children. This is why it is so important that parents regularly teach their children about God and what he has done. Yet even in this condition, God answered his people when they cried out for help, sending them deliverers.","Chapter 1, Verse 6. Cut off. Cutting off a king’s thumbs and big toes would have made him impotent in battle. Chapter 2, Verse 1. Angel of the Lord. This is one of three pre-incarnate appearances of Christ in the book of Judges. Verse 16. Judges. Judges were tribal leaders who God used to govern various portions of the nation. Chapter 3, Verse 10. The spirit of the Lord. This is a special anointing of the Spirit of God upon a chosen leader to accomplish specific purposes. It is temporary and not necessarily given only to truly regenerate individuals.","If the book of Joshua provided a picture of mostly success, the book of Judges provides a picture of Israel’s overwhelming failures. The nation’s downward spiral of disobedience grows more shocking with each chapter. As we begin reading through the book of Judges, it is helpful for us to hear how it ends: 

In those days there was no king in Israel; everyone did what was right in his own eyes.
Judges 21:25 (LSB)

There is no godly leadership in the land. The faithful generations did not pass on the knowledge and worship of God to the next generation (2:10) and this results in national catastrophe. That loud clanging gong at the end of the book is already beginning to ring at the beginning of the book. Chapters 1 and 2 serve as prelude to the actual account of the judges beginning in 3:7. Joshua has died but no new leader is announced. Things seem to be going well with the tribe of Judah, but a sour note rings in 1:19: “they could not dispossess the inhabitants of the valley.” Conquest is incomplete. That sour note is sadly repeated throughout the rest of chapter one as we’re told of tribe after tribe who did not dispossess the inhabitants of the land. The angel of Yahweh makes clear in 2:1-5 that because of Israel’s disobedience in obeying God’s instructions in the land, they will not be able to drive out all of their enemies. Disobedience brings consequences.

The cycle in 2:11–2:23 will play out time and again in Judges. The people of God will not worship God, but instead worship false gods. God will allow their enemies to defeat them because of their sin. The people will cry out to God and he will answer, because he is faithful (unlike fickle sinners). God will graciously raise up a judge to deliver his people from their enemies, but victory will not last long. They will quickly fall into idolatry again, with each successive generation acting “more corruptly than their fathers” (2:19). God is testing his people, to see if they will obey (3:4).

The bulk of the book of Judges from 3:17–16:31 tells the stories of twelve judges. Some judges receive greater attention than others, and the judges themselves are not always righteous or even obedient to the will of God. While the Spirit of Yahweh is upon Othniel for special service (3:10), we’ll see a downward trajectory even with the judges themselves. May the time spent in the dark book of Judges cause us to reject the temptation towards faithless sin and cling tightly to our faithful Savior. ","1. Why did the people forget God and worship false idols? 2. Is God's use of people to accomplish his purposes necessarily dependent upon whether they are personally righteous? 3. Why does God answer his people's cries for help, even when they have sinned against him?"
13,62,Deborah and Barak,Judg 4–5,"This account, like many of the stories in Judges, is an example of God accomplishing his purposes and protecting his people even through individuals and circumstances that are contrary to his will and ways. God is sovereign, and he will do what he has promised even if no one obeys him.","Chapter 4, Verse 4. Deborah. God raised up Deborah because of Barak’s failure to lead. Chapter 5, Verse 10. White donkeys. The unusual color of this animal made them valuable possessions for only those were who rich and influential.","The cycle of sin continues. “Then the sons of Israel again did what was evil in the eyes of Yahweh” (4:1). The people are defeated. They cry out to God for help. This is the part where we expect to see the male judge arrive; but we’re introduced to a woman instead. Deborah the prophetess is leading Israel at the time, sort of. She is dispensing wisdom and justice in some sense, but she doesn’t actually lead the army. She challenges a man named Barak to lead the army (4:6–7) not because she thinks it’s a good idea, but because Yahweh has commanded him to lead. That should be all the encouragement or motivation that Barak needs, but he insists Deborah go with him. It has become necessary for her to lead in Israel because men like Barak have failed to lead. Deborah is not an example of female empowerment but of failed male leadership. Deborah’s strength is that she continues to remind Barak of what Yahweh has said. It is God who has commanded Barak to lead the men into battle, and it is God who will be with him during the battle. 

After God parted the Red Sea and defeated the enemies of Israel, Miriam led the people of God in song. God has once again defeated his enemies, and the proper response again is song. Chapter 4 reads like a textbook account of a battle whereas Chapter 5 reads like an eyewitness account of the battle. Both perspectives remind us of the idea that God is the true hero of the battle. Barak did not want to enter the battle but he did with Deborah’s encouragement and prodding. In the gracious providence of God, it is Barak who is mentioned in Hebrews 11 along with other examples of faith. What a reminder that God isn’t looking for perfect faith but obedient faith. But the text is clear that Barak did not win the battle. It is Yahweh who routed Sisera in battle (4:15). It is God who subdued the king of Canaan (4:24).

What about the nail–driving Jael? How should we think of her? Deborah makes clear in her hymn that Jael is blessed for her bravery in crushing the head of Sisera. Ever since Genesis 3 we’ve been looking for the seed of the woman who will crush the head of the serpent. We don’t see the serpent–crusher yet in Judges. But the faithfulness of Jael in crushing the seed of the serpent surely causes us to long for the true Serpent–Crusher who will one day come. Because Christ has come and subdued the enemy, we can be faithful rather than fearful in serving him.",1. What did Deborah's leadership reveal about Barak's lack of character and courage? 2. Was Jael's action right and moral? 3. Why did God choose to bless something that was contrary to his moral will?
13,63,The Call of Gideon,Judg 6,"Gideon’s question to the Lord reveals the mystery of God’s providence in Judges. The oppression and sin of the people seemed to indicate that God had forsaken his people, and yet God was always there, fulfilling his promises and accomplishing his will, even when the people did not recognize it.","Verse 11. Angel. Once again, this “angel” is identified as Yahweh himself (see vv. 14, 16, 23, 25, 27). Verse 37. Fleece. Gideon’s requests for signs revealed his weak faith.","Things aren’t going as planned. The people of God are not flourishing but floundering. They are living in caves and hideouts, and they are not enjoying the fruit of the land. God promised Abraham that his offspring would be so many that they would not be able to be counted, but it is the offspring of Midian that are so many that they cannot be counted. They are like the locusts of Egypt spread throughout the land and oppressing the people of God. So they cry out to God, as usual, and he reminds them of his power and deliverance, as usual. But this time God’s words ring out in judgment at the end of verse 10, “You have not obeyed my voice.” Will God deliver Israel again or has God’s mercy run out?

We are now introduced to this man Gideon, whom we must assume will be the next deliverer of Israel. But where do we meet him? Hiding down in a winepress attempting to thresh wheat. To thresh wheat you need to be on a high place where the wind will blow freely, but this also exposes you for all to see. Gideon must be greatly afraid to work in such a counterproductive manner. Some mighty man of valor he is. Like Moses before him, Gideon responds to God’s call on his life with excuses. Surely there must be someone stronger than Gideon to lead the people of God. Isn’t that just like God to choose the weak things of the world to shame the wise? The Lord uses Gideon to show the complete weakness and inability of the false god Baal, but God also shows us in the text how weak and wavering Gideon himself can be.

How often do we build our theology from our experiences? Our feelings and emotions typically reign supreme over the truth of what we know from the Bible. We see this in the life of Gideon. He is told plainly by the angel of the Lord that God is with him, and yet because of his circumstances, Gideon doubts the truth of God’s word. He builds his theology from his experience. He obeys God in tearing down the town’s idolatrous altar, but he tears it down at night for fear of his own family and the townsmen. Gideon is a mixture of fear and faith. We see this clearly in his infamous fleece. God has already told Gideon what to do; no fleece or any other sort of test is needed. God is patient with Gideon, but we should not emulate Gideon and his feeble–faith fleece. We should take God at his word and obey in faith.","1. When bad things happen, does this mean God is not present? 2. How should we respond when bad things happen to us? 3. Should we ask God for signs to prove that he will do what he has promised?"
13,64,Gideon’s 300 Men,Judg 7–8,"God is sovereign, but he often uses people to accomplish his will. Divine sovereignty and human responsibility go hand in hand. Yet when God uses us, we should never assume that we are the ones who have actually accomplished the victory. To boast in what good we have supposedly done is to ignore God’s hand behind it all.","Chapter 7, Verse 5. Laps the water. There is no reason given for why this was used to distinguish the groups; it was just a way for God to divide the people. Verse 18. The sword of the Lord and of Gideon. This revealed a trust in the power of God in combination with duty to obey him as he had commanded. Verse 19. Set the watch. About 10 p.m.","God is the hero of the Bible. Far too often when we read the Bible, we’re looking for the human hero or villain in each little story and we miss the big point. It’s at this point in Judges that we’re tempted to look at Gideon as the hero. We’ve already seen his feeble faith in chapter 7, but now he leads Israel to a mighty victory in chapter 8. Isn’t he the hero? Or is he simply the human instrument of our all-powerful God? 

God brings victory in the way that only he can. He reduces Gideon’s army in a way that has no human explanation. The lapping water test and the final number of 300 soldiers are not military insights we should be applying today; they are simply the methods of our sovereign God. In a battle that seems as strange as the battle at Jericho, God brings the victory for Gideon in chapter 7. Gideon continues fighting in another battle in chapter 8, but this time God does not seem to be involved. He’s not mentioned in the text, and Gideon is not described in heroic or godly ways. Gideon is now chasing the enemy whereas God had previously delivered the enemy into his hands. He seems to be petty and is feuding on a personal level. Worse still, Gideon leads the nation into false worship. He gathers the gold of the people and crafts an idol! This mighty man of valor who started out like a new Moses now sounds a lot like Aaron with the golden calf. How the mighty have fallen. This is yet another reminder that God’s goodness and faithfulness to his people is not due to human goodness but all due to God’s grace.

The author of Hebrews includes Gideon in the hall of faith in Hebrews 11. Gideon is not the hero of the story, but neither should we disregard him altogether. God used Gideon to bring rest to the land for forty years, and he is the last judge of whom that will be said. Even though the people tried to make Gideon the leader of a family dynasty, he told them that Yahweh is their ruler (8:23). While Gideon is sinful (see the multiple wives and concubine), God used him to do good to and for Israel. The final assessment of Gideon’s life in 8:33–36 indicates that Israel was kept from greater sin and idolatry because of the leadership of Gideon. What a complicated legacy. May we be faithful like Gideon was in his best moments, and we may avoid the stumbles he made in his worst.  Above all, may we cling to the One who is able to keep us from stumbling (Jude 24). ","1. Who won the battle against the Midianites, Gideon or God? 2. If we accomplish something great for the Lord, who actually deserves the credit? 3. When we boast for what we have done for God, what does that reveal about us?"
13,65,Abimelech,Judg 9,"This story once again reveals the sinfulness of God’s people. They did not deserve God’s protection or care; none of their conquests, victories, and eventual flourishing was a result of their righteousness or worthiness. It was only God’s covenant with them and his faithfulness that grew them into a mighty, prosperous nation.",Verse 5. Killed his brothers. This eliminated competition for rulership. Verse 45. Sowed it with salt. This polluted the soil and water and made it impossible to grow anything.,"My father is king. That’s what Abimelech means. His father Gideon had sworn he would not be king and he would not begin a family dynasty in Israel, but he named his son “my father is king.” While Gideon had some glory days of faithfulness in service to Israel mixed with some dark days of sin, his son Abimelech has no such glory and far deeper darkness.

How did Abimelech become king? By killing his brothers, all seventy of them. He eliminated all potential challenges to the throne. Wait, he missed one! Gideon’s youngest son Jotham hides and survives his brother’s murderous rampage. Jotham ascends Mount Gerizim and tells a parable to the leaders of Shechem, comparing the new “king of the forest” to the lowly bramble bush. Jotham ultimately pronounces curses on them because they have not acted in good faith in calling brother Abimelech to be king. When Israel entered the promised land, they joyfully pronounced the blessings of the covenant of God from Mount Gerizim just as Moses commanded. Now the blessed mountain has become the cursed mountain because of the lack of truth and integrity from the people of Shechem. What a prologue to Abimelech’s reign.

We’re told that “my father is king” ruled for three years. It is interesting to note that the word used in 9:22 is not the same word Gideon used when he declared God as ruler in 8:22–23. Abimelech may be governing but he is not king. The people made him king, but he is a distant second to God as true king. In God’s providence, the same people who made Abimelech king turned on him and now oppose him as king.  We’re given details of the back and forth battles between the king and the people of Shechem, and Jotham’s parable proves true. Because Abimelech was certainly the wrong choice as ruler, “the bramble” shoots out fire and destroys the stronghold in 9:49, 52. Jotham also predicted that Abimelech would be destroyed, and he is destroyed in a most unusual way. His fear of being known as the man who was killed by a woman is exactly how we remember Abimelech all of these thousands of years later. What a conclusion to Abimelech’s “reign.” 

This dark story of Abimelech leaves the reader to respond in the same way the entire book of Judges leaves us to respond: looking for someone better! This would be king is no king at all. He certainly was not a godly leader. How can we read of Abimelech and not pause to thank God for the true king who has come? O worship the King!","1. Is there any indication in this passage that the people loved or desired to serve God? 2. Why did God continue to protect his people, even in the midst of their sinful lifestyles? 3. Why is God faithful to his promises?"
14,66,Jephthah,Judg 10–12,"God’s faithfulness, even in the midst of his people’s sin, is evidence of his mercy and love for his people. Yet he still chastens them, leaving them to suffer the consequences of their actions. The fact remains true, especially for God’s people, that obedience will bring blessing, but disobedience results in suffering.","Chapter 11, Verse 15. Did not take away the land. God had commanded the people to take complete possession of the land (Lev 15:23), but they did not, causing them all of their current problems. Verse 29. Spirit. This is the special anointing of God for those he chose to lead his people. Verse 30. Vow. This is another example of religious syncretism—the mixing of true religion with false. It was customary for pagan generals to make a vow to their god in return for military victory. The fact that Jephthah actually followed through and sacrificed his daughter further indicates his lack of faith in the true God and his promises.","God’s lavish grace extends to even the worst of sinners, and for that we are thankful. Today’s reading might cause us to question God’s mercy. We find the name of Jephthah listed among the faithful in Hebrews 11, but after reading Joshua 10–12 we might wonder why. 

Chapter 10 sets the stage for the Jephthah story. The cycle continues, “the sons of Israel again did what was evil in the eyes of Yahweh” (10:6) They are worshipping false gods—seven nations are listed showing the completeness of their idolatry. Yahweh’s anger burns against Israel. God punishes Israel: he “sold them into the hands of the Philistines” (10:7). The people cry out in repentance, and the chapter ends with the nation wondering who will deliver them. Enter Jephthah. We’re told Jephthah is an illegitimate child (Why is this happening in Israel? This sounds like the sins of the nations!), and his half–brothers reject him. When trouble arises the people seek Jephthah out to be their head, but there is no mention of God raising up Jephthah. Jepthah seems at first to be diplomat but eventually the battle comes. 

The Spirit of the Lord is on Jephthah (11:29), but this does not mean everything Jephthah does is righteous. God anoints Jephthah for the specific task of leading Israel in this season. Yahweh gives the enemy into his hand (11:32) and victory is won, but that is not the focus of the narrative. The focus is on Jephthah’s vow to sacrifice if the Lord will give him victory in battle. At best this reflects Jephthah’s misunderstanding of offering your best to God. At worst Jephthah is mixing pagan theology with the worship of God. Jephthah thinks he must keep the foolish vow he made, but the law in Leviticus actually provided a way to honor God and not keep a foolish or rash vow. Jephthah keeps a vow he never should have made, and no one stops him. In those days there was no king in Israel and everyone did what was right in his own eyes.

The need for a king is amplified when a fight breaks out between the tribes. Jepthah’s diplomacy is now gone, and he creates a test to sniff out any enemy outsiders from their midst. The people of God are turning on each other and destroying one another. The Bible does not say that Jephthah’s rule brough rest to the land. Things are going from bad to worse in Israel. Israel did not deserve deliverance, and Jephthah sure doesn’t seem to deserve to be listed among the faithful. And yet our King Jesus extends mercy to someone like Jephthah?! And you? And me?  God is faithful, even when we are not. ","1. What did God mean by, ""I will save you no more"" (10:13)? 2. Why did God raise up Jephthah to save the people even though they had forsaken him? 3. What does Jephthah's vow reveal about him?"
14,67,Samson’s Birth,Judg 13–14,"The story of Samson is another prime example of God using someone to deliver his people who himself was not a worthy leader. Samson’s victories were clearly accomplished only by the power of God, and Samson often reaps the results of his sinful actions. God can, and often does, use sinful people to accomplish his good plans.","Chapter 13, Verse 5. Nazarite. This comes from the Hebrew word that means “to separate.” Those taking this vow were set apart from the rest of the community in service to God. Chapter 14, Verse 1. Philistines. It would have been strictly forbidden for any Jew, especially a Nazarite, to marry a Philistine woman.","Does God use sinful people for his sovereign purposes? To that question the story of Samson shouts a resounding, “Yes!” We’ve seen the cycle so many times in the book of Judges, and yet something is different this time. Yet again the people of Israel do what is evil in the eyes of Yahweh (because they’re doing what is right in their own eyes).  Yet again they are handed over to an enemy nation; this time it’s the Philistines. But this time we’re not told that the people cried out in repentance to God. We’re not told that God will send a deliverer. The scene just shifts its focus to the birth of Samson.

As he’s done before God brings about a miraculous birth, and this child is to be set apart from birth. He’s going to be set apart for life as a Nazarite in service to God. Numbers 6 teaches us that the Nazarite vow is normally voluntary and temporary, and the special spiritual service is marked by avoiding all alcohol, all contact with the dead, and any cutting of the hair. This will be important to remember as we evaluate Samson; even here we see that Samson’s vow will be lifelong and is placed upon him in the womb. Samson’s mother is told before his birth that he will be a deliverer of Israel. This supernatural birth announcement brought by the angel of Yahweh sets up Samson for a marvelous beginning in ministry. Perhaps he will fare better than so many judges before him.

The story fasts forward to Samson being old enough to take a wife, and who does he choose? A Philistine woman! No Israelite should marry a Philistine; certainly not a Nazarite groom. Samson’s parents know that it’s not right for him to marry this Philistine woman, but what is Samson’s motivation in verse 3? “Take her for me, for she is right in my eyes.”  Yet God is working sovereignly behind the scenes, even while Samson is breaking his Nazarite vows. He’s touching a dead animal carcass. He’s throwing a wedding feast, which likely involves alcohol. Samson’s spiritual stock is dropping rapidly.

The story of Samson has only begun. We often hold up Samson as a hero to children, probably because the story is fascinating and filled with his feats of strength. But to view Samson as a hero, we have to ignore a lot of the text. His promising start is already marked by many red flags, yet here again we have someone listed in the Hebrews 11 Hall of Faith. Perhaps our focus should be on the gracious God who continues to deliver his people in spite of their repeated sins.",1. Why was Samson set apart by the Nazarite vow? 2. What significance was it that the flame of the altar and the angel of the Lord went up toward heaven (13:20)? 3. Why shouldn't Samson have married a Philistine woman?
14,68,In the Shadow of Your Wings,Ps 17,"Our relationship to God as his people is one of just protection and care. God’s justice ensures that he will always do right, punishing sin and rewarding righteous behavior, but we may not necessarily see this happen in our present lives; often even the unrighteous enjoy God’s common grace, but we can be sure that from an eternal perspective, the wicked will be destroyed, and God will reward his people who are his greatest treasure.","Verse 1, A Prayer. This is the first psalm simply titled “a prayer” (see also Pss 86, 90, 102, 142). Verse 1. Just cause. David begins the psalm using metaphorical language from a law court to describe his plea before God. Verse 8. Apple of your eye. This is a poetic expression that describes the pupil, a central and vital organ of vision. As one protects and values this organ, so God protects and values his people.","Psalm 17 is simply identified as a prayer of David. We’re not given any insight into David’s life circumstances when he wrote this prayer. It is a prayer for vindication—a prayer for God to judge rightly when the whole world gets it wrong. Like David, we can trust the Lord and approach him confidently in prayer. 

Where do you turn when the world turns against you? David cries out to God in verse 1. He prays “Hear me, O Yahweh. Give heed to my cry. Give ear to my prayer.” Like a defendant before a judge, David is pleading his case. David does not claim to be perfect, but he is standing before the judge with integrity. He has withstood the Lord’s investigation. “You have tested, you have visited, you have tried me” (17:3). David has avoided the path of the violent and clung to the path of God (17:4–5). He is confident that God will not only hear him, but God will act. God will answer his prayers and show his lovingkindness.

David’s prayer of confidence shifts to a prayer for protection in verses 8–12. Like a mother bird protects her babies, David wants to be hidden in the shadow of God’s wings. Like we treasure and protect the organ that gives us sight—our eyes—David wants to be kept as the “apple” of God’s eye. David knows that there is safety with the Lord, and that’s where he wants to be (17:8). His wicked, deadly enemies are after him. David describes his enemies in verses 10–12. They are hard-hearted and arrogant. They have no pity. They are circling their prey like a lion eager to tear into its next meal.

How do we think about the need for protection from enemies? How do we deal with the enemies of life? David’s prayer for protection in verses 8–12 is now seen through the lens of his confidence in the Lord as righteous judge as he prayed in verses 1–7. Those two streams form the river of the remainder of his prayer in verses 13–15. His focus does not remain on his circumstances, but he focuses on his covenant keeping God. David began his prayer in verse 1 by addressing God as Yahweh, the personal covenantal name of God. As David begins the conclusion of his prayer, he again speaks to God as Yahweh. His prayer is possible because he is in a covenantal relationship with the true Judge of the universe. Likewise, our prayers are not only possible but heard and answered according to God’s perfect will because we are in relationship with God through Jesus Christ. David ends his prayer with the same confidence we have today through Christ.","1. Why can we trust in God as our judge more than we can trust human judges? 2. What is communicated by the request, ""hide me in the shadow of your wings"" (v. 8)? 3. Why do wicked people many times enjoy earthly benefits?"
14,69,Samson and the Philistines,Judg 15,"God continues to display his power and faithfulness to his promises by caring for his people, even using a vengeful, unrighteous man like Samson, and despite the fact that his own people didn’t trust in him. It is a wonder and a blessing that God’s faithfulness is not dependent upon any human response but is a direct reflection of his unchanging character.","Verse 8. Hip and thigh. This is an expression for violent slaughter. Verse 14. Spirit of the Lord. This is an example of God’s special, non-salvific anointing of an individual to accomplish a specific purpose, and further illustrates that God is behind all of Samson’s strength and accomplishments in delivering the people from the Philistine oppression.","When we last left Samson, his bride had been given away to his best friend on his wedding day. Can you imagine?! Remarkably Samson exercises patience and waits until an appropriate time to try and return to his new wife. Samson’s father-in-law is certainly sneaky and his excuse seems rather thin, but doesn’t he remind us of someone else? Jacob the deceiver had been also deceived on his wedding day and was offered his bride’s sister as a consolation prize. Samson is not here a deceiver but a destroyer. Using the fiery weapon of foxes or jackals, he causes great financial loss to the Philistines. Had Samson been tricked and mistreated by his father-in-law? Of course. Was Samson justified in responding the way he did? Of course not. And yet God is still working to defeat the enemy Philistines, even through a flawed leader like Samson. When the enemy realizes who has committed this act of economic terrorism, they bring the very punishment that Samson’s wife had wanted to avoid when she tricked him into revealing the answer to the riddle: she and her father are burned alive. Samson’s revenge is swift and severe. 

The Philistines invade Judah in response to Samson’s fury. You would think his national kinsmen would be grateful for Samson’s defeat of some of the Philistines, but the opposite is true. The men of Judah confront Samson: “Do you not know that these people rule over us?” (15:11). It seems that Judah has become comfortable with their dominion by the Philistines. Isn’t that just like us? We grow comfortable with our sins and forget the freedom available to us through Christ. God has sent a deliverer to Israel, but it seems like they’re not interested. Not only do the men of Judah not want Samson’s help, they want to hand him over to the Philistines. We’re even given details about the rope to show how secure Samson is supposed to be. Yet no ropes can bind him because God is not through with him. The Spirit of Yahweh comes upon Samson to empower him for this act of judgment upon the enemies of God, the Philistines. Those fresh ropes were nothing against the strength of God in Samson. The Philistines are no match against the jawbone of the donkey in Samson’s hands. Samson as God’s executioner may have a strange weapon, but his strength is sure as the Spirit of God upon him.

God miraculously provides for unworthy Samson as he is used for God’s glory. He can certainly use you and me, as well. Verse 20 might lead you to think the Samson story is over, but it is only the end of Act I. ",1. Was it right for Samson to burn the Philistine fields with the foxes? 2. Why did the men of Judah bind Samson? 3. Why did God anoint Samson with his Spirit?
14,70,Samson’s Defeat,Judg 16,"Even though God used Samson to save his people, Samson’s disobedience, arrogance, and vengeful spirit ultimately led to his destruction. Just because God uses a disobedient person to accomplish a good purpose does not absolve that person from his sin. God still holds responsible those who sin against him.","Verse 5. 1,100 Pieces of silver. Since each of the five rulers pledged this amount, it was quite a large sum of money. Verse 20. The Lord had left him. This reveals that it was not his long hair that gave Samson his strength, but rather the special anointing of the Lord. Cutting his hair was simply the final act that caused God to remove his Spirit’s anointing power. Verse 23. Dagon. This was an idol with the head of a fish and the body of a man. Verse 28. Remember me. This prayer may indicate a heart of repentance.","Samson’s story comes to a dramatic conclusion in Judges 16. His sins become more vivid as he encounters multiple sinful women, but his strength seems to be on greater display. Samson’s lover Delilah makes a Judas-like deal with the Philistines, and she seeks ways to betray him. As a reader, we want to scream at Samson, “Why are you putting up with this? She’s obviously trying to trap you!” Each time Delilah springs her snare, Samson breaks free from the trap of the Philistines. Until the day that Delilah wears Samson down. She annoys his soul to death, and she springs the final trap. Whatever Samson thought when he told Delilah all that was in his heart, it seems certain that he did not know that Yahweh would leave him. That’s exactly what happened. Samson’s sins have found him out, and his sins ensnare him, enslave him, and grind him. Samson does get one final victory over the Philistines, but his motivation seems to be personal vindication, not the vindication of Yahweh. Yet God continues to use sinful people for his sovereign purposes.

The rest of the book of Judges is marked by further illustrations of the resounding theme: “In those days there was no king in Israel; every man did what was right in his own eyes.” The rotten seeds planted by so many of the judges bear deadly fruit in these illustrations. The enemies have been outside of Israel in chapters 2–16, but the enemies in the rest of the book are within. It is their idolatry and their false worship that is the nation’s greatest downfall. The book leaves the reader desperately longing for the King who is to come.

Perhaps it is helpful at this conclusion of reading most of the book of Judges to ponder Hebrews 11 for a moment. We have already made note that Gideon, Barak, Samson, and Jephthah are all included in the long list of the faithful in Hebrews 11. After reading these narratives, we may wonder why. Yet when we read that famous chapter in context, we begin to see that all of the faithful in Hebrews 11 were also severely flawed. The sermon of Hebrews is not preaching that we should emulate each of these people in their actions. In other words, don't live like Samson! Rather your faith should be like theirs in this sense: our faith looks to the promises of God, not ourselves. We must lay aside the sins we saw throughout Judges, because they can entangle us as easily as they entangled Samson and Jephthah. We must fix our eyes on Jesus, the author and perfecter of faith who is also the true judge and true king. We must consider him and not grow weary. Look to Christ!",1. How did Samson's sinful desire for wicked women lead to his defeat? 2. How did Samson's sin contribute to the Philistine's false worship (see v. 24)? 3. Do you think Samson was truly repentant at the end? Why or why not?
